id_firmy;id_konkurenta
CHOPIN;ORANGE
CHOPIN;T-MOBILE
CHOPIN;PLAY
CHOPIN;PLUS
CHOPIN;NETIA
CHOPIN;VECTRA
CHOPIN;INEA
CHOPIN;RFC
CHOPIN;PLASTCOM
CHOPIN;TYGRYS
CHOPIN;LIMES
CHOPIN;WAVE
CHOPIN;HISPEED
CHOPIN;STARLINK
CHOPIN;SWIATLOWOD_INWESTYCJE
CHOPIN;POLSKI_SWIATLOWOD_OTWARTY
PELMAR;ORANGE
PELMAR;T-MOBILE
PELMAR;PLAY
PELMAR;PLUS
PELMAR;NETIA
PELMAR;INEA
PELMAR;RFC
PELMAR;JMDI
PELMAR;GECKONET
PELMAR;TELKAB
PELMAR;STARLINK
PELMAR;SWIATLOWOD_INWESTYCJE
PELMAR;POLSKI_SWIATLOWOD_OTWARTY
MC2;ORANGE
MC2;T-MOBILE
MC2;PLAY
MC2;PLUS
MC2;NETIA
MC2;VECTRA
MC2;INEA
MC2;RFC
MC2;JMDI
MC2;JPK
MC2;VOLTA
MC2;ABAKS
MC2;VLMEDIA
MC2;MBIT
MC2;PRO_INTERNET
MC2;CITYLINK
MC2;AIR-NET
MC2;STARLINK
MC2;SWIATLOWOD_INWESTYCJE
MC2;POLSKI_SWIATLOWOD_OTWARTY
MC1_OLSZTYN;ORANGE
MC1_OLSZTYN;T-MOBILE
MC1_OLSZTYN;PLAY
MC1_OLSZTYN;PLUS
MC1_OLSZTYN;NETIA
MC1_OLSZTYN;VECTRA
MC1_OLSZTYN;INEA
MC1_OLSZTYN;RFC
MC1_OLSZTYN;TSUNAMI
MC1_OLSZTYN;MATCOM
MC1_OLSZTYN;INTELLY
MC1_OLSZTYN;IVENDO
MC1_OLSZTYN;STARLINK
MC1_OLSZTYN;SWIATLOWOD_INWESTYCJE
MC1_OLSZTYN;NEXERA
MC1_OLSZTYN;POLSKI_SWIATLOWOD_OTWARTY
MC1_STARGARD;ORANGE
MC1_STARGARD;T-MOBILE
MC1_STARGARD;PLAY
MC1_STARGARD;PLUS
MC1_STARGARD;VECTRA
MC1_STARGARD;INEA
MC1_STARGARD;RFC
MC1_STARGARD;JMDI
MC1_STARGARD;LOONAR
MC1_STARGARD;TRIPLEMEDIA
MC1_STARGARD;SINUSNET
MC1_STARGARD;STARLINK
MC1_STARGARD;SWIATLOWOD_INWESTYCJE
MC1_OSTRODA;ORANGE
MC1_OSTRODA;T-MOBILE
MC1_OSTRODA;PLAY
MC1_OSTRODA;PLUS
MC1_OSTRODA;VECTRA
MC1_OSTRODA;INEA
MC1_OSTRODA;RFC
MC1_OSTRODA;MATCOM
MC1_OSTRODA;ELTRONIK
MC1_OSTRODA;IWKD
MC1_OSTRODA;STARLINK
MC1_OSTRODA;SWIATLOWOD_INWESTYCJE
MC1_OSTRODA;NEXERA
MC1_OSTRODA;POLSKI_SWIATLOWOD_OTWARTY
MC1_LOWICZ;ORANGE
MC1_LOWICZ;T-MOBILE
MC1_LOWICZ;PLAY
MC1_LOWICZ;PLUS
MC1_LOWICZ;NETIA
MC1_LOWICZ;VECTRA
MC1_LOWICZ;INEA
MC1_LOWICZ;RFC
MC1_LOWICZ;JMDI
MC1_LOWICZ;BUDIMPEX
MC1_LOWICZ;MPCNET
MC1_LOWICZ;TIMPLUS
MC1_LOWICZ;STARLINK
MC1_LOWICZ;SWIATLOWOD_INWESTYCJE
MC1_LOWICZ;NEXERA
MC1_KWIDZYN;ORANGE
MC1_KWIDZYN;T-MOBILE
MC1_KWIDZYN;PLAY
MC1_KWIDZYN;PLUS
MC1_KWIDZYN;NETIA
MC1_KWIDZYN;VECTRA
MC1_KWIDZYN;INEA
MC1_KWIDZYN;RFC
MC1_KWIDZYN;JMDI
MC1_KWIDZYN;GECKONET
MC1_KWIDZYN;NORTIS
MC1_KWIDZYN;STARLINK
MC1_KWIDZYN;SWIATLOWOD_INWESTYCJE
JIM-SAT;ORANGE
JIM-SAT;T-MOBILE
JIM-SAT;PLAY
JIM-SAT;PROVECTOR
JIM-SAT;GORZOWSKA_TELEWIZJA_PRZEWODOWA
ELTRONIK;ORANGE
ELTRONIK;T-MOBILE
ELTRONIK;PLAY
ELTRONIK;NETIA
ELTRONIK;VECTRA
